PLANT_ID,SPECIES,MALE,FEMALE,NUM_SLF_ALIVE
1,TOH,ALIVE,ALIVE,2
2,TOH,ALIVE,ALIVE,2
3,TOH,ALIVE,ALIVE,2
4,TOH,ALIVE,ALIVE,2
5,TOH,ALIVE,ALIVE,2
6,TOH,ALIVE,DEAD,1
7,TOH,ALIVE,ALIVE,2
8,TOH,ALIVE,ALIVE,2
9,TOH,ALIVE,ALIVE,2
10,TOH,ALIVE,ALIVE,2
11,TOH,ALIVE,ALIVE,2
12,TOH,ALIVE,ALIVE,2
13,MW,ALIVE,ALIVE,2
14,MW,DEAD,ALIVE,1
15,MW,DEAD,DEAD,0
16,MW,DEAD,ALIVE,1
17,MW,DEAD,DEAD,0
18,MW,DEAD,DEAD,0
19,MW,DEAD,DEAD,0
20,MW,DEAD,DEAD,0
21,MW,DEAD,DEAD,0
22,MW,DEAD,ALIVE,1
23,MW,DEAD,DEAD,0
24,MW,DEAD,ALIVE,1
